date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:31	1682/1682	---M--	200	added ('OK')	text/plain	etag:%227b062d-692-461ba02585f80%22	http://www.wingvillage.org.uk/robots.txt		(from )
12:17:31	12022/12022	---MC-	200	added ('OK')	text/html	etag:%224ad1b993ac7d014573bd7a06f6ec7c7a%22	http://www.wingvillage.org.uk/	www.wingvillage.org.uk/index.html	(from )
12:17:31	7570/7570	---MC-	200	added ('OK')	text/html	etag:%2233f441e90d0fbbb659a1a497fe1e6787%22	http://www.wingvillage.org.uk/about	www.wingvillage.org.uk/about.html	(from )
12:17:36	8159/8159	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:32%20GMT	http://www.wingvillage.org.uk/recentchanges	www.wingvillage.org.uk/recentchanges.html	(from )
12:17:36	12022/12022	---MC-	200	added ('OK')	text/html	etag:%22f785a25013e004db1d6cf7ab59ce9d5e%22	http://www.wingvillage.org.uk/thevillage	www.wingvillage.org.uk/thevillage.html	(from )
12:17:37	12136/12136	---MC-	200	added ('OK')	text/html	etag:%22a08340471aae355ac2b4f3a05573d51d%22	http://www.wingvillage.org.uk/thevillage/allsaintschurch	www.wingvillage.org.uk/thevillage/allsaintschurch.html	(from )
12:17:38	14210/14210	---MC-	200	added ('OK')	text/html	etag:%224efbc67416b28feedcacaf3a35c23d28%22	http://www.wingvillage.org.uk/thevillage/amenitiesandfacilities	www.wingvillage.org.uk/thevillage/amenitiesandfacilities.html	(from )
12:17:38	35299/35299	---M--	200	added ('OK')	image/jpeg	etag:%22bc82b9-89e3-454c2f59df100%22	http://www.wingvillage.org.uk/sites/default/files/wingsign.jpg	www.wingvillage.org.uk/sites/default/files/wingsign.jpg	(from )
12:17:39	13712/13712	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:38%20GMT	http://www.wingvillage.org.uk/thevillage/broadband	www.wingvillage.org.uk/thevillage/broadband.html	(from )
12:17:44	54329/54329	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:38%20GMT	http://www.wingvillage.org.uk/thevillage/conservationarea	www.wingvillage.org.uk/thevillage/conservationarea.html	(from )
12:17:44	13730/13730	---MC-	200	added ('OK')	text/html	etag:%228c3a1ea5691046d742a46944f3125295%22	http://www.wingvillage.org.uk/thevillage/healthservices	www.wingvillage.org.uk/thevillage/healthservices.html	(from )
12:17:45	15783/15783	---MC-	200	added ('OK')	text/html	etag:%22f9a4cb8a5f9886c63dff82df896afd47%22	http://www.wingvillage.org.uk/thevillage/history	www.wingvillage.org.uk/thevillage/history.html	(from )
12:17:46	17616/17616	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:45%20GMT	http://www.wingvillage.org.uk/thevillage/library	www.wingvillage.org.uk/thevillage/library.html	(from )
12:17:46	12537/12537	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:46%20GMT	http://www.wingvillage.org.uk/thevillage/localbusiness	www.wingvillage.org.uk/thevillage/localbusiness.html	(from )
12:17:47	14295/14295	---MC-	200	added ('OK')	text/html	etag:%227371a4b58c74b3321fde8465b8305b1a%22	http://www.wingvillage.org.uk/thevillage/localwalks	www.wingvillage.org.uk/thevillage/localwalks.html	(from )
12:17:48	37837/37837	---MC-	200	added ('OK')	text/html	etag:%22e100d47a3dbf8d75f56480a8788c180b%22	http://www.wingvillage.org.uk/thevillage/naturalhistory	www.wingvillage.org.uk/thevillage/naturalhistory.html	(from )
12:17:48	12386/12386	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:48%20GMT	http://www.wingvillage.org.uk/parishcouncil	www.wingvillage.org.uk/parishcouncil.html	(from )
12:17:49	13240/13240	---MC-	200	added ('OK')	text/html	etag:%2253bee132f74fca1747c16d4cf0f46c87%22	http://www.wingvillage.org.uk/thevillage/police	www.wingvillage.org.uk/thevillage/police.html	(from )
12:17:49	13369/13369	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:49%20GMT	http://www.wingvillage.org.uk/thevillage/publictransport	www.wingvillage.org.uk/thevillage/publictransport.html	(from )
12:17:51	13141/13141	---MC-	200	added ('OK')	text/html	etag:%2282a309102aa7a7ce251dd7640c31b680%22	http://www.wingvillage.org.uk/thevillage/refuse	www.wingvillage.org.uk/thevillage/refuse.html	(from )
12:17:51	13546/13546	---MC-	200	added ('OK')	text/html	etag:%229ff8a6d54dcdcd5d3ac658f0c01578bb%22	http://www.wingvillage.org.uk/thevillage/schools	www.wingvillage.org.uk/thevillage/schools.html	(from )
12:17:52	15491/15491	---MC-	200	added ('OK')	text/html	etag:%22e9c65f85316324a3b0b3ec4fc83692d4%22	http://www.wingvillage.org.uk/thevillage/villagemap	www.wingvillage.org.uk/thevillage/villagemap.html	(from )
12:17:52	12757/12757	---MC-	200	added ('OK')	text/html	etag:%2294c00c0cc7e93f4c4d434502f5a84391%22	http://www.wingvillage.org.uk/thevillage/whatsoninwing	www.wingvillage.org.uk/thevillage/whatsoninwing.html	(from )
12:17:53	12328/12328	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:51%20GMT	http://www.wingvillage.org.uk/thevillage/weblinks	www.wingvillage.org.uk/thevillage/weblinks.html	(from )
12:17:53	11169/11169	---MC-	200	added ('OK')	text/html	etag:%2285591cadf1b0faa485847f9cbc1fc288%22	http://www.wingvillage.org.uk/organisations	www.wingvillage.org.uk/organisations.html	(from )
12:17:57	37355/37355	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:52%20GMT	http://www.wingvillage.org.uk/news	www.wingvillage.org.uk/news.html	(from )
12:17:58	9183/9183	---MC-	200	added ('OK')	text/html	etag:%22cf7834fe7141c33e2e056489a7e4d1cb%22	http://www.wingvillage.org.uk/events	www.wingvillage.org.uk/events.html	(from )
12:17:58	8329/8329	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:17:58%20GMT	http://www.wingvillage.org.uk/contact	www.wingvillage.org.uk/contact.html	(from http://www.wingvillage.org.uk/)
12:17:59	15491/15491	---MC-	200	added ('OK')	text/html	etag:%22747596e9d9b9b3a2053f49c8f3471335%22	http://www.wingvillage.org.uk/thevillage/villagemap?location=allsaints	www.wingvillage.org.uk/thevillage/villagemapb852.html	(from http://www.wingvillage.org.uk/)
12:18:00	16735/16735	---MC-	200	added ('OK')	text/html	etag:%229e7dcac1f38c15589fb71f4e0fb48588%22	http://www.wingvillage.org.uk/thevillage/amenitiesandfacilities/villagehall	www.wingvillage.org.uk/thevillage/amenitiesandfacilities/villagehall.html	(from http://www.wingvillage.org.uk/)
